ITEM,MEDICAMENTO,LOCAL_DE_DISPENSACAO,DISTRITAIS,DISTRITAL TANCREDO NEVES,DISTRITAL WILSON PAULO NOAL,FARMÁCIAS DISTRITAIS,MUNICIPAL,POPULAR,UBS,CID,INFORMAÇÕES ADICIONAIS
1.0,ACICLOVIR 200 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
2.0,ÁCIDO ACETILSALICÍLICO 100 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
3.0,"ÁCIDO FÓLICO 0,2 MG/ML – GOTAS 30 ML","MUNICIPAL, DISTRITAIS E UBS",1.0,0.0,0.0,0.0,1.0,0.0,1.0,,
4.0,ÁCIDO FÓLICO 5 MG COMPRIMIDO,"MUNICIPAL, DISTRITAIS E UBS",1.0,0.0,0.0,0.0,1.0,0.0,1.0,,
5.0,ÁCIDO FOLÍNICO 15 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
6.0,"ALBENDAZOL 400 MG, COMPRIMIDO MASTIGÁVEL",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
7.0,"ALBENDAZOL, 40 MG/ML, SUSPENSÃO ORAL",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
8.0,ALOPURINOL 100 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
9.0,AMIODARONA 200 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
10.0,AMOXICILINA 500 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
11.0,"AMOXICILINA ASSOCIADA COM CLAVULANATO DE POTÁSSIO, 400 MG + 57 MG/ML, SUSPENSÃO ORAL FRASCO DE 70 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
12.0,"AMOXICILINA, 250 MG/5ML, PÓ PARA SUSPENSÃO ORAL, FRASCO 150 ML COM COPO DOSADOR",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
13.0,AMOXICILINA 500 MG + CLAVULANATO DE POTÁSSIO 125 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
14.0,ANLODIPINO BESILATO 5 MG COMPRIMIDO,"MUNICIPAL, DISTRITAIS E POPULAR",1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
15.0,"AZITROMICINA 200 MG/5ML - SUSPENSÃO ORAL 22,5 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
16.0,AZITROMICINA 500 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
17.0,CARBONATO DE CÁLCIO (500 MG DE CÁLCIO) COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
18.0,CARBONATO DE CÁLCIO 600 MG + VITAMINA D 400 UI COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
19.0,"CARVEDILOL 12,5 MG COMPRIMIDO",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
20.0,CEFALEXINA 500 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
21.0,"CEFALEXINA, 250 MG/5ML, SUSPENSÃO ORAL 60 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
22.0,CIPROFLOXACINO 500 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
23.0,CLINDAMICINA 300 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
24.0,"CLORETO DE SÓDIO 0,9%, SOLUÇÃO NASAL, FRASCO 50 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
25.0,COMPLEXO B COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
26.0,"DEXAMETASONA, ACETATO, 1 MG/G – CREME 10 G",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
27.0,"DEXCLORFENIRAMINA, MALEATO, 0,4 MG/ML - XAROPE 100 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
28.0,"DIGOXINA 0,25 MG COMPRIMIDO",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
29.0,DIPIRONA SÓDICA GOTAS - 500 MG/ML - 10 ML SOLUÇÃO ORAL,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
30.0,DIPIRONA 500 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
31.0,DOXAZOSINA 2 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
32.0,DOXICICLINA 100 MG (SOMENTE COM PROTOCOLO),MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
33.0,ESPIRONOLACTONA 25 MG,"MUNICIPAL, DISTRITAIS E POPULAR",1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
34.0,FINASTERIDA 5 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
35.0,FUROSEMIDA 40 MG,"MUNICIPAL, DISTRITAIS E POPULAR",1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
36.0,FLUCONAZOL 150 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
37.0,GLIMEPIRIDA 2 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
38.0,IBUPROFENO 100 MG/ML. SUSPENSÃO ORAL 20 ML,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
